Id,ManagementAreaId,MeasurementTypeId,Measurement,Value,Rank,TriggerValue
1401,750,3,SomaticCellCount,1273.0,9,High
1401,750,4,Fat,4.47,7,Low
1401,750,8,ES,8.28,8,Low
1402,750,3,SomaticCellCount,1288.0,9,High
1402,750,4,Fat,4.66,7,Low
1402,750,8,ES,8.51,8,Low
1403,750,3,SomaticCellCount,1117.0,9,High
1403,750,4,Fat,4.47,7,Low
1403,750,8,ES,8.4,8,Low
1404,750,3,SomaticCellCount,1062.0,9,High
1404,750,4,Fat,4.46,7,Low
1404,750,8,ES,8.37,8,Low
1405,750,3,SomaticCellCount,1176.0,9,High
1405,750,4,Fat,4.57,7,Low
1405,750,8,ES,8.44,8,Low
1406,750,3,SomaticCellCount,1010.0,9,High
1406,750,4,Fat,4.31,7,Low
1406,750,8,ES,8.22,8,Low
1407,750,3,SomaticCellCount,1161.0,9,High
1407,750,4,Fat,4.6,7,Low
1407,750,8,ES,8.58,8,Low
1408,750,3,SomaticCellCount,1233.0,9,High
1408,750,4,Fat,4.74,7,Low
1408,750,8,ES,8.65,8,Low
1409,750,3,SomaticCellCount,1044.0,9,High
1409,750,4,Fat,4.81,7,Low
1409,750,8,ES,8.75,8,Low
1410,750,3,SomaticCellCount,1182.0,9,High
1410,750,4,Fat,5.31,7,Adequate
1410,750,8,ES,9.27,8,Low
1411,750,3,SomaticCellCount,917.0,9,High
1411,750,4,Fat,5.06,7,Low
1411,750,8,ES,8.97,8,Low
1412,750,3,SomaticCellCount,1059.0,9,High
1412,750,4,Fat,5.28,7,Adequate
1412,750,8,ES,9.2,8,Low
1413,750,3,SomaticCellCount,1302.0,9,High
1413,750,4,Fat,5.15,7,Low
1413,750,8,ES,9.06,8,Low
1414,750,3,SomaticCellCount,950.0,9,High
1414,750,4,Fat,4.83,7,Low
1414,750,8,ES,8.71,8,Low
1415,1524,2,EQ,7.449999999999999,9,Low
1415,1524,3,SomaticCellCount,1981.0,10,High
1415,1524,4,Fat,4.06,2,Low
1415,1524,5,Protein,3.39,6,Low
1415,1524,7,Urea,511.0,7,Adequate
1415,1524,8,ES,7.45,3,Low
1415,1524,11,FreezingPoint,0.554,1,Adequate
1416,1524,2,EQ,7.7,9,Low
1416,1524,3,SomaticCellCount,1235.0,10,Adequate
1416,1524,4,Fat,4.25,2,Low
1416,1524,5,Protein,3.45,6,Low
1416,1524,6,Bacteria,43.0,5,Adequate
1416,1524,7,Urea,515.0,7,Adequate
1416,1524,8,ES,7.7,3,Low
1416,1524,11,FreezingPoint,0.547,1,Adequate
1417,1524,2,EQ,7.67,9,Low
1417,1524,3,SomaticCellCount,1052.0,10,Adequate
1417,1524,4,Fat,4.3,2,Low
1417,1524,5,Protein,3.37,6,Low
1417,1524,7,Urea,535.0,7,Adequate
1417,1524,8,ES,7.67,3,Low
1417,1524,11,FreezingPoint,0.549,1,Adequate
1418,1524,2,EQ,7.35,9,Low
1418,1524,3,SomaticCellCount,1032.0,10,Adequate
1418,1524,4,Fat,3.94,2,Low
1418,1524,5,Protein,3.41,6,Low
1418,1524,7,Urea,535.0,7,Adequate
1418,1524,8,ES,7.35,3,Low
1418,1524,11,FreezingPoint,0.552,1,Adequate
1419,1524,2,EQ,7.55,9,Low
1419,1524,3,SomaticCellCount,1098.0,10,Adequate
1419,1524,4,Fat,4.04,2,Low
1419,1524,5,Protein,3.51,6,Low
1419,1524,6,Bacteria,52.0,5,Adequate
1419,1524,7,Urea,510.0,7,Adequate
1419,1524,8,ES,7.55,3,Low
1419,1524,11,FreezingPoint,0.556,1,Adequate
1420,1524,2,EQ,8.45,9,Low
1420,1524,3,SomaticCellCount,1244.0,10,Adequate
1420,1524,4,Fat,4.97,2,Adequate
1420,1524,5,Protein,3.48,6,Low
1420,1524,7,Urea,500.0,7,Adequate
1420,1524,8,ES,8.45,3,Low
1420,1524,11,FreezingPoint,0.557,1,Adequate
1421,1524,2,EQ,7.25,9,Low
1421,1524,3,SomaticCellCount,1299.0,10,Adequate
1421,1524,4,Fat,3.78,2,Low
1421,1524,5,Protein,3.47,6,Low
1421,1524,7,Urea,459.0,7,Adequate
1421,1524,8,ES,7.25,3,Low
1421,1524,11,FreezingPoint,0.551,1,Adequate
1422,1524,2,EQ,7.390000000000001,9,Low
1422,1524,3,SomaticCellCount,1153.0,10,Adequate
1422,1524,4,Fat,3.99,2,Low
1422,1524,5,Protein,3.4,6,Low
1422,1524,7,Urea,467.0,7,Adequate
1422,1524,8,ES,7.39,3,Low
1422,1524,11,FreezingPoint,0.551,1,Adequate
1423,1524,2,EQ,7.95,9,Low
1423,1524,3,SomaticCellCount,1250.0,10,Adequate
1423,1524,4,Fat,4.53,2,Low
1423,1524,5,Protein,3.42,6,Low
1423,1524,6,Bacteria,80.0,5,High
1423,1524,7,Urea,542.0,7,Adequate
1423,1524,8,ES,7.95,3,Low
1423,1524,11,FreezingPoint,0.562,1,Adequate
1424,1524,2,EQ,7.540000000000001,9,Low
1424,1524,3,SomaticCellCount,902.0,10,Adequate
1424,1524,4,Fat,4.15,2,Low
1424,1524,5,Protein,3.39,6,Low
1424,1524,6,Bacteria,61.0,5,Adequate
1424,1524,7,Urea,524.0,7,Adequate
1424,1524,8,ES,7.54,3,Low
1424,1524,11,FreezingPoint,0.559,1,Adequate
1425,1524,2,EQ,8.12,9,Low
1425,1524,3,SomaticCellCount,1763.0,10,High
1425,1524,4,Fat,4.64,2,Low
1425,1524,5,Protein,3.48,6,Low
1425,1524,7,Urea,553.0,7,High
1425,1524,8,ES,8.12,3,Low
1425,1524,11,FreezingPoint,0.561,1,Adequate
1426,1524,2,EQ,8.3,9,Low
1426,1524,3,SomaticCellCount,1981.0,10,High
1426,1524,4,Fat,4.75,2,Adequate
1426,1524,5,Protein,3.55,6,Low
1426,1524,7,Urea,484.0,7,Adequate
1426,1524,8,ES,8.3,3,Low
1426,1524,11,FreezingPoint,0.56,1,Adequate
1448,750,3,SomaticCellCount,1297.0,9,High
1448,750,4,Fat,4.36,7,Low
1448,750,8,ES,8.18,8,Low
1449,750,3,SomaticCellCount,1231.0,9,High
1449,750,4,Fat,4.15,7,Low
1449,750,8,ES,7.99,8,Low
1450,1524,2,EQ,8.29,9,Low
1450,1524,3,SomaticCellCount,2953.0,10,High
1450,1524,4,Fat,4.79,2,Adequate
1450,1524,5,Protein,3.5,6,Low
1450,1524,7,Urea,547.0,7,Adequate
1450,1524,8,ES,8.29,3,Low
1450,1524,11,FreezingPoint,0.554,1,Adequate
1451,1524,2,EQ,6.6,9,Danger Zone Low
1451,1524,3,SomaticCellCount,1795.0,10,High
1451,1524,4,Fat,3.16,2,Low
1451,1524,5,Protein,3.44,6,Low
1451,1524,6,Bacteria,202.0,5,Danger Zone High
1451,1524,7,Urea,512.0,7,Adequate
1451,1524,8,ES,6.6,3,Danger Zone Low
1451,1524,11,FreezingPoint,0.553,1,Adequate
1453,1524,2,EQ,7.41,9,Low
1453,1524,3,SomaticCellCount,1613.0,10,High
1453,1524,4,Fat,4.03,2,Low
1453,1524,5,Protein,3.38,6,Low
1453,1524,7,Urea,554.0,7,High
1453,1524,8,ES,7.41,3,Low
1453,1524,11,FreezingPoint,0.552,1,Adequate
1455,750,3,SomaticCellCount,1214.0,9,High
1455,750,4,Fat,4.36,7,Low
1455,750,8,ES,8.28,8,Low
1456,1524,2,EQ,7.95,9,Low
1456,1524,3,SomaticCellCount,1721.0,10,High
1456,1524,4,Fat,4.46,2,Low
1456,1524,5,Protein,3.49,6,Low
1456,1524,6,Bacteria,37.0,5,Adequate
1456,1524,7,Urea,524.0,7,Adequate
1456,1524,8,ES,7.95,3,Low
1456,1524,11,FreezingPoint,0.562,1,Adequate
1460,750,3,SomaticCellCount,1142.0,9,High
1460,750,4,Fat,4.08,7,Low
1460,750,8,ES,7.9,8,Low
1461,750,3,SomaticCellCount,1088.0,9,High
1461,750,4,Fat,4.39,7,Low
1461,750,8,ES,8.25,8,Low
1462,1524,2,EQ,6.970000000000001,9,Low
1462,1524,3,SomaticCellCount,1540.0,10,High
1462,1524,4,Fat,3.5,2,Low
1462,1524,5,Protein,3.47,6,Low
1462,1524,7,Urea,462.0,7,Adequate
1462,1524,8,ES,6.97,3,Low
1462,1524,11,FreezingPoint,0.563,1,Adequate
1463,1524,2,EQ,7.01,9,Low
1463,1524,3,SomaticCellCount,1509.0,10,High
1463,1524,4,Fat,3.55,2,Low
1463,1524,5,Protein,3.46,6,Low
1463,1524,6,Bacteria,84.0,5,High
1463,1524,7,Urea,460.0,7,Adequate
1463,1524,8,ES,7.01,3,Low
1463,1524,11,FreezingPoint,0.556,1,Adequate
1464,1524,2,EQ,7.26,9,Low
1464,1524,3,SomaticCellCount,2186.0,10,High
1464,1524,4,Fat,3.69,2,Low
1464,1524,5,Protein,3.57,6,Low
1464,1524,6,Bacteria,8740.0,5,Danger Zone High
1464,1524,7,Urea,447.0,7,Low
1464,1524,8,ES,7.26,3,Low
1464,1524,11,FreezingPoint,0.58,1,Adequate
1466,1524,2,EQ,7.66,9,Low
1466,1524,3,SomaticCellCount,1481.0,10,High
1466,1524,4,Fat,4.19,2,Low
1466,1524,5,Protein,3.47,6,Low
1466,1524,6,Bacteria,28.0,5,Adequate
1466,1524,7,Urea,477.0,7,Adequate
1466,1524,8,ES,7.66,3,Low
1466,1524,11,FreezingPoint,0.558,1,Adequate
1468,1524,2,EQ,6.93,9,Low
1468,1524,3,SomaticCellCount,1574.0,10,High
1468,1524,4,Fat,3.43,2,Low
1468,1524,5,Protein,3.5,6,Low
1468,1524,7,Urea,540.0,7,Adequate
1468,1524,8,ES,6.93,3,Low
1468,1524,11,FreezingPoint,0.547,1,Adequate
1470,750,3,SomaticCellCount,973.0,9,High
1470,750,4,Fat,4.01,7,Low
1470,750,8,ES,7.79,8,Low
1471,750,3,SomaticCellCount,1090.0,9,High
1471,750,4,Fat,4.04,7,Low
1471,750,8,ES,7.87,8,Low
1473,750,3,SomaticCellCount,1113.0,9,High
1473,750,4,Fat,4.43,7,Low
1473,750,8,ES,8.22,8,Low
1474,750,3,SomaticCellCount,1537.0,9,High
1474,750,4,Fat,4.19,7,Low
1474,750,8,ES,7.98,8,Low
1476,1524,2,EQ,6.640000000000001,9,Danger Zone Low
1476,1524,3,SomaticCellCount,1337.0,10,Adequate
1476,1524,4,Fat,3.2,2,Low
1476,1524,5,Protein,3.44,6,Low
1476,1524,7,Urea,475.0,7,Adequate
1476,1524,8,ES,6.64,3,Danger Zone Low
1476,1524,11,FreezingPoint,0.552,1,Adequate
1477,1524,2,EQ,7.64,9,Low
1477,1524,3,SomaticCellCount,1813.0,10,High
1477,1524,4,Fat,4.06,2,Low
1477,1524,5,Protein,3.58,6,Low
1477,1524,7,Urea,494.0,7,Adequate
1477,1524,8,ES,7.64,3,Low
1477,1524,11,FreezingPoint,0.568,1,Adequate
1478,1524,2,EQ,7.5,9,Low
1478,1524,3,SomaticCellCount,1848.0,10,High
1478,1524,4,Fat,3.99,2,Low
1478,1524,5,Protein,3.51,6,Low
1478,1524,7,Urea,350.0,7,Danger Zone Low
1478,1524,8,ES,7.5,3,Low
1478,1524,11,FreezingPoint,0.569,1,Adequate
1481,750,3,SomaticCellCount,1160.0,9,High
1481,750,4,Fat,4.23,7,Low
1481,750,8,ES,7.95,8,Low
1482,1524,2,EQ,6.73,9,Low
1482,1524,3,SomaticCellCount,1921.0,10,High
1482,1524,4,Fat,3.36,2,Low
1482,1524,5,Protein,3.37,6,Low
1482,1524,6,Bacteria,68.0,5,Adequate
1482,1524,7,Urea,421.0,7,Low
1482,1524,8,ES,6.73,3,Low
1482,1524,11,FreezingPoint,0.552,1,Adequate
1485,750,3,SomaticCellCount,1217.0,9,High
1485,750,4,Fat,4.07,7,Low
1485,750,8,ES,7.75,8,Low
1486,750,3,SomaticCellCount,1196.0,9,High
1486,750,4,Fat,4.16,7,Low
1486,750,8,ES,7.93,8,Low
1487,1524,2,EQ,7.02,9,Low
1487,1524,3,SomaticCellCount,800.0,10,Adequate
1487,1524,4,Fat,3.63,2,Low
1487,1524,5,Protein,3.39,6,Low
1487,1524,7,Urea,496.0,7,Adequate
1487,1524,8,ES,7.02,3,Low
1487,1524,11,FreezingPoint,0.575,1,Adequate
1488,1524,2,EQ,8.030000000000001,9,Low
1488,1524,3,SomaticCellCount,2278.0,10,High
1488,1524,4,Fat,4.69,2,Adequate
1488,1524,5,Protein,3.34,6,Low
1488,1524,7,Urea,430.0,7,Low
1488,1524,8,ES,8.03,3,Low
1488,1524,11,FreezingPoint,0.554,1,Adequate
1492,750,3,SomaticCellCount,1459.0,9,High
1492,750,4,Fat,4.23,7,Low
1492,750,8,ES,7.99,8,Low
1493,750,3,SomaticCellCount,1073.0,9,High
1493,750,4,Fat,4.05,7,Low
1493,750,8,ES,7.78,8,Low
1495,1524,2,EQ,6.7,9,Low
1495,1524,3,SomaticCellCount,813.0,10,Adequate
1495,1524,4,Fat,3.29,2,Low
1495,1524,5,Protein,3.41,6,Low
1495,1524,6,Bacteria,144.0,5,High
1495,1524,7,Urea,536.0,7,Adequate
1495,1524,8,ES,6.7,3,Low
1495,1524,11,FreezingPoint,0.567,1,Adequate
1496,1524,2,EQ,6.74,9,Low
1496,1524,3,SomaticCellCount,1122.0,10,Adequate
1496,1524,4,Fat,3.37,2,Low
1496,1524,5,Protein,3.37,6,Low
1496,1524,6,Bacteria,136.0,5,High
1496,1524,7,Urea,573.0,7,High
1496,1524,8,ES,6.74,3,Low
1496,1524,11,FreezingPoint,0.565,1,Adequate
1499,750,3,SomaticCellCount,1427.0,9,High
1499,750,4,Fat,3.71,7,Low
