Id,ManagementAreaId,SampleDate,Fat,Protein,ES,EQ,Bacteria,SomaticCellCount,Urea,FreezingPoint
1485-0,750,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-1,1524,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-2,1894,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-3,1867,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-4,1892,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-5,1893,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-6,1898,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-7,1901,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-8,1903,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-9,1902,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-10,1905,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-11,1906,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-12,1908,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-13,1907,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-14,1909,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-15,1910,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-16,1911,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-17,1912,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1485-18,1917,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568
1486-0,750,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
1486-1,1524,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
1486-2,1894,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
1486-3,1867,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
1486-4,1892,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
1486-5,1893,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
1486-6,1898,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
1486-7,1901,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564
