Id,ManagementAreaId,SampleDate,EQ,SomaticCellCount,Fat,Protein,Bacteria,Urea,ES,FreezingPoint,Breed,Species,Target
1485,750,2022-05-14,7.75,1217,4.07,3.68,0,431.0,7.75,0.568,Malagueña,Goat,1.0
1486,750,2022-05-12,7.93,1196,4.16,3.77,0,437.0,7.93,0.564,Malagueña,Goat,1.0
1492,750,2022-05-18,7.99,1459,4.23,3.76,67,491.0,7.99,0.57,Malagueña,Goat,1.0
1493,750,2022-05-16,7.779999999999999,1073,4.05,3.73,0,456.0,7.78,0.563,Malagueña,Goat,1.0
1499,750,2022-05-22,7.1,1427,3.71,3.39,0,410.0,7.1,0.503,Malagueña,Goat,Veterinarian intervention
1500,750,2022-05-20,7.74,1333,3.92,3.82,0,488.0,7.74,0.567,Malagueña,Goat,1.0
1506,750,2022-05-24,7.92,1448,4.14,3.78,0,441.0,7.92,0.571,Malagueña,Goat,1.0
1522,750,2022-06-05,8.030000000000001,1291,4.29,3.74,0,468.0,8.03,0.564,Malagueña,Goat,1.0
1523,750,2022-06-03,7.75,1150,4.06,3.69,0,481.0,7.75,0.571,Malagueña,Goat,1.0
1529,750,2022-06-11,7.95,1393,4.4,3.55,0,420.0,7.95,0.567,Malagueña,Goat,1.0
1530,750,2022-06-09,7.970000000000001,1079,4.36,3.61,0,424.0,7.97,0.571,Malagueña,Goat,1.0
1531,750,2022-06-07,7.91,1198,4.27,3.64,36,486.0,7.91,0.571,Malagueña,Goat,1.0
1473,750,2022-05-08,8.219999999999999,1113,4.43,3.79,0,479.0,8.22,0.566,Malagueña,Goat,1.0
1474,750,2022-05-06,7.98,1537,4.19,3.79,0,473.0,7.98,0.565,Malagueña,Goat,1.0
1552,750,2022-06-21,8.06,1373,4.54,3.52,0,437.0,8.06,0.571,Malagueña,Goat,1.0
1725,750,2022-07-27,8.02,2297,4.38,3.64,0,438.0,8.02,0.563,Malagueña,Goat,Veterinarian intervention
