Id,ManagementAreaId,SampleDate,Fat,Protein,ES,EQ,Bacteria,SomaticCellCount,Urea,FreezingPoint,Breed,Species,Target
1485,750,2022-05-14,4.07,3.68,7.75,7.75,0,1217,431.0,0.568,Malagueña,Cabra,Treatment
1486,750,2022-05-12,4.16,3.77,7.93,7.93,0,1196,437.0,0.564,Malagueña,Cabra,Treatment
1487,1524,2022-05-14,3.63,3.39,7.02,7.02,0,800,496.0,0.575,Florida,Cabra,Treatment
1488,1524,2022-05-12,4.69,3.34,8.03,8.030000000000001,0,2278,430.0,0.554,Florida,Cabra,Treatment
1492,750,2022-05-18,4.23,3.76,7.99,7.99,67,1459,491.0,0.57,Malagueña,Cabra,Treatment
1493,750,2022-05-16,4.05,3.73,7.78,7.779999999999999,0,1073,456.0,0.563,Malagueña,Cabra,Treatment
1495,1524,2022-05-16,3.29,3.41,6.7,6.7,144,813,536.0,0.567,Florida,Cabra,Treatment
1496,1524,2022-05-16,3.37,3.37,6.74,6.74,136,1122,573.0,0.565,Florida,Cabra,Treatment
1499,750,2022-05-22,3.71,3.39,7.1,7.1,0,1427,410.0,0.503,Malagueña,Cabra,Veterinarian intervention
1500,750,2022-05-20,3.92,3.82,7.74,7.74,0,1333,488.0,0.567,Malagueña,Cabra,Treatment
1501,1524,2022-05-22,3.4,3.3,6.7,6.699999999999999,180,1421,513.0,0.555,Florida,Cabra,Veterinarian intervention
1502,1524,2022-05-20,3.1,3.37,6.47,6.470000000000001,0,1181,508.0,0.56,Florida,Cabra,Veterinarian intervention
1506,750,2022-05-24,4.14,3.78,7.92,7.92,0,1448,441.0,0.571,Malagueña,Cabra,Treatment
1509,1524,2022-05-25,4.48,3.29,7.77,7.7700000000000005,0,2571,549.0,0.563,Florida,Cabra,Treatment
1510,1524,2022-05-23,4.21,3.23,7.44,7.4399999999999995,0,2197,539.0,0.559,Florida,Cabra,Treatment
1522,750,2022-06-05,4.29,3.74,8.03,8.030000000000001,0,1291,468.0,0.564,Malagueña,Cabra,Treatment
1523,750,2022-06-03,4.06,3.69,7.75,7.75,0,1150,481.0,0.571,Malagueña,Cabra,Treatment
1524,1524,2022-06-05,3.23,3.48,6.71,6.71,71,1308,545.0,0.559,Florida,Cabra,Treatment
1525,1524,2022-06-03,3.15,3.44,6.59,6.59,235,1263,521.0,0.568,Florida,Cabra,Veterinarian intervention
1529,750,2022-06-11,4.4,3.55,7.95,7.95,0,1393,420.0,0.567,Malagueña,Cabra,Treatment
1530,750,2022-06-09,4.36,3.61,7.97,7.970000000000001,0,1079,424.0,0.571,Malagueña,Cabra,Treatment
1531,750,2022-06-07,4.27,3.64,7.91,7.91,36,1198,486.0,0.571,Malagueña,Cabra,Treatment
1533,1524,2022-06-11,3.68,3.38,7.06,7.0600000000000005,22,1702,522.0,0.562,Florida,Cabra,Treatment
1534,1524,2022-06-11,4.0,3.32,7.32,7.32,28,1272,544.0,0.565,Florida,Cabra,Treatment
1473,750,2022-05-08,4.43,3.79,8.22,8.219999999999999,0,1113,479.0,0.566,Malagueña,Cabra,Treatment
1474,750,2022-05-06,4.19,3.79,7.98,7.98,0,1537,473.0,0.565,Malagueña,Cabra,Treatment
1552,750,2022-06-21,4.54,3.52,8.06,8.06,0,1373,437.0,0.571,Malagueña,Cabra,Treatment
1553,1524,2022-06-23,4.57,3.55,8.12,8.120000000000001,40,2805,534.0,0.567,Florida,Cabra,Treatment
1554,1524,2022-06-21,4.3,3.53,7.83,7.83,289,3207,522.0,0.579,Florida,Cabra,Veterinarian intervention
1555,1524,2022-06-19,4.12,3.43,7.55,7.550000000000001,22,2434,546.0,0.569,Florida,Cabra,Treatment
1725,750,2022-07-27,4.38,3.64,8.02,8.02,0,2297,438.0,0.563,Malagueña,Cabra,Veterinarian intervention
1726,750,2022-07-25,4.56,3.58,8.14,8.14,43,2977,479.0,0.553,Malagueña,Cabra,Veterinarian intervention
1728,1524,2022-07-27,3.97,3.51,7.48,7.48,0,3902,540.0,0.552,Florida,Cabra,Veterinarian intervention
1729,1524,2022-07-25,3.89,3.38,7.27,7.27,0,3402,553.0,0.546,Florida,Cabra,Veterinarian intervention
1730,1894,2022-07-26,3.44,3.13,8.25,6.57,88,2494,651.0,0.56,Payoya,Cabra,Veterinarian intervention
1732,750,2022-07-31,4.14,3.59,7.73,7.7299999999999995,0,1400,424.0,0.564,Malagueña,Cabra,Treatment
1733,1524,2022-07-31,4.05,3.47,7.52,7.52,34,4646,522.0,0.54,Florida,Cabra,Veterinarian intervention
1734,1524,2022-07-29,4.32,3.47,7.79,7.790000000000001,67,5250,527.0,0.549,Florida,Cabra,Veterinarian intervention
1735,750,2022-07-29,4.2,3.62,7.82,7.82,53,1381,424.0,0.563,Malagueña,Cabra,Treatment
1753,750,2022-08-10,4.4,3.61,8.01,8.01,0,1666,462.0,0.561,Malagueña,Cabra,Treatment
1754,750,2022-08-08,4.25,3.65,7.9,7.9,36,1438,407.0,0.573,Malagueña,Cabra,Treatment
1813,1867,2022-08-20,5.87,4.75,10.52,10.620000000000001,26,963,0.0,0.567,Assaf,Oveja,Treatment
1856,1894,2022-09-02,3.43,3.42,8.53,6.85,12,2796,679.0,0.563,Payoya,Cabra,Veterinarian intervention
1401,750,2022-04-20,4.47,3.81,8.28,8.28,69,1273,468.0,0.568,Malagueña,Cabra,Treatment
